"full_address","longitude","latitude"
"18/10 Ipima Street, Braddon, ACT 2612",149.1318931,-35.2667887
"7/1 Wanliss Street, Latham, ACT 2615",149.0326914,-35.2191967
"64/27 Wiseman Street, Macquarie, ACT 2614",149.0740158,-35.2529388
"19/7 Sydney Avenue, Barton, ACT 2600",149.1327049,-35.3126816
"1210/161 Emu Bank, Belconnen, ACT 2617",149.0664078,-35.2364497
"20/4 Heard Street, Mawson, ACT 2607",149.0968438,-35.3675267
"40/16 David Miller Crescent, Casey, ACT 2913",149.0972698,-35.1709317
"98/72 Wentworth Avenue, Kingston, ACT 2604",149.1459784,-35.3191363
"26/9 Irving Street, Phillip, ACT 2606",149.0849365,-35.3385175
"3/17 Wimmera Street, Harrison, ACT 2914",149.1505206,-35.1987246
"43/28 Mort Street, Braddon, ACT 2612",149.1317121,-35.2745934
"118/140 Thynne Street, Bruce, ACT 2617",149.1000801,-35.2421051
"13/15 Berrigan Crescent, O'Connor, ACT 2602",149.1288646,-35.2593644
"9 Higgins Crescent, Ainslie, ACT 2602",149.1416943,-35.2711618
"4/11 Kerridge Street, Kingston, ACT 2604",149.1496433,-35.3134035
"30/27 Coxen Street, Hughes, ACT 2605",149.0924873,-35.3352042
"5/7 State Circle, Forrest, ACT 2603",149.1262863,-35.3129252
"45 Matina Street, Narrabundah, ACT 2604",149.1544012,-35.3271283
"7 Helby Street, Harrison, ACT 2914",149.1575587,-35.2086838
"40/1 Anthony Rolfe Avenue, Gungahlin, ACT 2912",149.1299195,-35.181994
"312/4 Grazier Lane, Belconnen, ACT 2617",149.0726525,-35.239854
"8 Ester Lane, Denman Prospect, ACT 2611",149.0239442,-35.298635
"509/39 London Circuit, City, ACT 2601",149.1268246,-35.2793791
"20 Euree Street, Reid, ACT 2612",149.1399785,-35.2854451
"60  Thwaites Crescent, Wright, ACT 2611",149.0246406,-35.3112922
"2316/120 Eastern Valley Way, Belconnen, ACT 2617",149.0735953,-35.240714
"62A Blackman Street, Macquarie, ACT 2614",149.0652341,-35.2539038
"2 Clubbe Crescent, MacGregor, ACT 2615",149.0193362,-35.2111485
"39/311 Flemington Road, Franklin, ACT 2913",149.1477471,-35.1881123
"57/148 Flemington Rd, Harrison, ACT 2914",149.1494785,-35.202444
"1214/6 Grazier Lane, Belconnen, ACT 2617",149.0719813,-35.2401725
"607/222 City Walk, City, ACT 2601",149.1321402,-35.2803658
"13/10 Dominion Circuit, Forrest, ACT 2603",149.131336,-35.3153879
"6/32 Stockdale Street, Dickson, ACT 2602",149.1372532,-35.2574167
"9/219a Northbourne Avenue, Turner, ACT 2612",149.1314894,-35.2614318
"77/41 Chandler Street, Belconnen, ACT 2617",149.0709502,-35.2394623
"235/81 Cooyong Street, Reid, ACT 2612",149.136225,-35.2796237
"10/49 Hampton Circuit, Yarralumla, ACT 2600",149.1096021,-35.3112461
"35/18 Captain Cook Crescent, Griffith, ACT 2603",149.1344644,-35.3210471
"144/7 Irving Street, Phillip, ACT 2606",149.0845284,-35.3388475
"50/14 National Circuit, Barton, ACT 2600",149.1336796,-35.3099386
"201/1 Boolee Street, Reid, ACT 2612",149.1368497,-35.2808648
"8/10-12 Stockdale Street, Dickson, ACT 2602",149.1351238,-35.2577445
"7/7 Sydney Avenue, Barton, ACT 2600",149.1327049,-35.3126816
"27/5 Skuta Place, Denman Prospect, ACT 2611",149.0244742,-35.2998022
"34/1 Playfair Place, Belconnen, ACT 2617",149.0714492,-35.2445063
"G09/2 Kerridge Street, Kingston, ACT 2604",149.1486252,-35.3136323
"51/162 Flemington Road, Harrison, ACT 2914",149.1494976,-35.2015522
"308/1 Boolee Street, City, ACT 2601",149.1368497,-35.2808648
"193/41 Chandler Street, Belconnen, ACT 2617",149.0709502,-35.2394623
